X coordinate (scaled to Reference SC),Y coordinate (scaled to Reference SC)
-451.85,-372.6
-276.43,-12.35
-304.38,10.58
-341.45,0.69
-222.6,40.02
-202.83,51.12
-265.85,42.52
-345.29,65.08
-385.41,108.86
-357.39,94.59
-326.86,-272.2
-208.11,-29.87
-223.3,-23.5
-223.12,-47.29
-269.17,-79.44
-335.02,-9.85
-376.24,-22.71
-396.78,3.74
-474.55,-38.6
-432.26,4.12
-243.75,-7.86
-301.81,-338.74
-344.88,-307.48
-417.44,-238.86
-402.35,-244.63
-364.89,-106.43
-370.13,-42.08
-349.45,-73.31
-284.2,-72.3
-485.27,-21.41
-503.07,-29.62
-152.01,-4.32
-431.45,-246.21
-486.76,-199.63
-485.91,-3.01
-248.24,-56.49
-242.89,-25.95
-186.95,-63.17
-197.42,-75.64
-166.23,-23.14
-197.27,-41.03
-276.32,-9.2
-325.28,1.27
-308.93,-26
-258.36,9.18
-374.36,-59.65
-409.2,-81.21
-355.68,-14.29
-338.49,-204.19
-247.43,-267.49
-222.5,-307.99
-435.26,-307.62
-285.39,-205.95
-248.48,-37.5
-172.4,-2.89
-240.15,38.14
-298.54,-362.72
-273.93,-327.93
-284.41,-315.89
-314.53,-337.75
-326.16,-343.68
-255.29,-332.54
-263.78,-269.01
-319.07,-292.6
-326.84,-318.5
-339.76,-339.6
-318.66,-352.52
-285.98,-322.48
-358.52,-389.21
-394.78,-377.25
-384.46,-329.31
-409.9,-317.43
-382.04,-381.03
-375.09,-349.28
-367.67,-340.04
-417.63,-367.78
-442.96,-370.62
-457.5,-375.7
-483.74,-384.58
-473.38,-387.69
-386.22,-368.63
-318.3,-334.71
-310.29,-359.08
-340.05,-372.51
-337.65,-366.01
-335.96,-390.29
-340.06,-386.16
-370.49,-379.91
-363.18,-392.84
-424.91,-404.69
-428.03,-399.12
-404.51,-397.7
-389.68,-379.53
-383.32,-329.79
-391.04,-310.95
-409.62,-389.6
-377.77,-391.43
-175.29,-286.06
-172.94,-391.8
-219.93,-344.84
-222.32,-433.71
-217.53,-423.31
-240.57,-421.65
-264.52,-424.17
-274.84,-439.09
-303.53,-424.75
-291.94,-409.43
-211.1,-439.36
-274.23,-421.62
-294.88,-395.35
-265.69,-345.64
-205.08,-377.95
-409.78,-443.18
-450.47,-407.56
-465.09,-427.05
-511.43,-435.33
-511.61,-424.65
-490.24,-424.81
-538.33,-408.82
-458.36,-353.74
-600.85,-393.09
-449.39,-362.39
-420.3,-406.76
-460.35,-331.33
-252,-257.02
-249.4,-294.58
-286.07,-284.04
-259.74,-300.55
-211.65,-335.43
-310.92,-276.2
-296.53,-283.5
-290.84,-310.52
-297.03,-326.22
-304.59,-306.08
-328.64,-300.1
-328.99,-314.24
-355.02,-314.01
-315.62,-305.94
